School,YrLevel,Domain,Test Name,Test level,Test Domain,Test Item RefID,Test Item Local Id,Test Item Name,Subdomain,Writing Genre,Birth Date,ACARA ID,PSI,Item Score,Item Lapsed Time,Item Response,Participation Code,Testlet LocalId,Response Correctness,ItemSubstitutedForList
21221,9,Spelling,Spelling Year 9,9,Spelling,b7e732aa-bffa-49a7-94b8-92a64e8071ed,x00102639,x00102639,Spelling,,2009-08-08,21221,R100000235R,1,PT50S,,P,x00102638,Correct,
21221,9,Spelling,Spelling Year 9,9,Spelling,f61803d8-42f2-45cf-9c12-0e7b735d5cb7,x00102640,x00102640,Spelling,,2009-08-08,21221,R100000235R,0,PT50S,,P,x00102638,NotAttempted,
21221,9,Spelling,Spelling Year 9,9,Spelling,db583d7e-346d-4f47-9ecc-92d83bcb4583,x00102641,x00102641,Spelling,,2009-08-08,21221,R100000235R,1,PT50S,,P,x00102638,Correct,
21221,9,Spelling,Spelling Year 9,9,Spelling,53a4ffae-595a-4b1c-84d0-14c11c43ad09,x00102642,x00102642,Spelling,,2009-08-08,21221,R100000235R,1,PT50S,,P,x00102638,Correct,
21221,9,Spelling,Spelling Year 9,9,Spelling,de980b52-ecdf-4d76-8bad-fbd95f0dbece,x00102643,x00102643,Spelling,,2009-08-08,21221,R100000235R,1,PT50S,,P,x00102638,Correct,
21221,9,Spelling,Spelling Year 9,9,Spelling,72528489-393b-40f4-a9d6-3598fc085997,x00102644,x00102644,Spelling,,2009-08-08,21221,R100000235R,0,PT50S,,P,x00102638,Incorrect,
21221,9,Spelling,Spelling Year 9,9,Spelling,12535301-833f-4b1e-b7ca-b514c75701f7,x00102656,x00102656,Spelling,,2009-08-08,21221,R100000235R,0,PT50S,,P,x00102655,Incorrect,
21221,9,Spelling,Spelling Year 9,9,Spelling,48bd5e68-445d-4dcc-9f55-cd4255e6f694,x00102657,x00102657,Spelling,,2009-08-08,21221,R100000235R,0,PT50S,,P,x00102655,NotAttempted,
21221,9,Spelling,Spelling Year 9,9,Spelling,cb136375-8cd0-4c2f-b35a-fac316c8f678,x00102658,x00102658,Spelling,,2009-08-08,21221,R100000235R,1,PT50S,,P,x00102655,Correct,
21221,9,Spelling,Spelling Year 9,9,Spelling,490ce775-11a2-43f0-8378-e4499064fae1,x00102659,x00102659,Spelling,,2009-08-08,21221,R100000235R,1,PT50S,,P,x00102655,Correct,
